2;87000000000000000000000;Tue May 30 18:16:08 +0000 2017;@Estadao @jdoriajr Ativista nem é gente mesmo.;232695523;#NOME?;paulocnf;2096;Melmac;pt
2;87000000000000000000000;Tue May 30 18:16:09 +0000 2017;@AgoraNoPlanalto @MichelTemer Isso mesmo @micheltemer , deixe o Joesley com ciúmes ...Chama o @Noblat, da ultima ve… https://t.co/agY85LsWZr;2554343171;Rodrigossauro;coa_rodrigo;42;;pt
2;87000000000000000000000;Tue May 30 18:16:10 +0000 2017;Derrubaram @dilmabr para desestabilizar o país. https://t.co/m4PVH8bLrJ;80000000000000000000000;Jurandi.Brito;JurandiBrito27;29;;pt
2;87000000000000000000000;Tue May 30 18:16:15 +0000 2017;@implicante_org @lLaraenoli Nem senadores de esquerda pedem prisão de @AecioNeves assistem a tudo calados, se ele n… https://t.co/T3hfKWXRMb;333516564;Rubem Rodrigues;RubinhoArte;1274;;pt
2;87000000000000000000000;Tue May 30 18:16:17 +0000 2017;@jairbolsonaro Mas lá não era lugar de estudos?  Virou baderna?;808965288;Paz e Reiki;cigganinha;117;Rio de Janeiro;pt
2;87000000000000000000000;Tue May 30 18:16:35 +0000 2017;@AgoraNoPlanalto @MichelTemer Sai daí, golpista.;180076139;Rogério Marcus;rog_marcus;663;Belo Horizonte, MG, Brasil;pt
2;87000000000000000000000;Tue May 30 18:16:37 +0000 2017;@GloboNews Firme q nem PREGO na areia , né @MichelTemer  ? Seu Governo acabou;2157300363;Eduardo Bonadio;kadubona2;169;São Paulo, Brasil;pt
2;87000000000000000000000;Tue May 30 18:16:53 +0000 2017;@Rede45 Vcs deveriam se preocupar com o @AecioNeves que vai ser preso logo logo, e o pó lá na cadeia é caro.;70600000000000000000000;Anderson Sousa;pfrandinho;14;;pt
2;87000000000000000000000;Tue May 30 18:16:57 +0000 2017;@MichelTemer Porque o Sr cortou verba pra Lava Jato ?? Isso não é bom Presidente !;2515990576;Nanperri;NanciPerri;491;São Paulo, Brasil;pt
2;87000000000000000000000;Tue May 30 18:17:05 +0000 2017;@MichelTemer Acho que o Senhor tem problema kkkkkkk devolveu o q???????  A volta para 1964;86900000000000000000000;Kelly Cristina;kellynha2406;0;;pt
1;87000000000000000000000;Tue May 30 18:17:21 +0000 2017;@jdoriajr @MahggaSantana Sou sua fã queria que vc fosse prefeito da minha cidade....me segue vai....;2515854662;Roh Barbi;ro_barbi;359;Maringá, Brasil;pt
2;87000000000000000000000;Tue May 30 18:17:43 +0000 2017;@jairbolsonaro Só queria saber onde fica o direito a liberdade q eles tanto falam... Hipócritas, abaixo a ditadura vermelha!!!;3319860675;Priscila Alvarez;Priscil67641177;0;Paulínia, Brasil;pt
2;87000000000000000000000;Tue May 30 18:18:00 +0000 2017;@MaleMarcelo @VEJA @AecioNeves Apoio é a democracia. Agora, vc deve tá decepcionado por achar q psdb não era corrup… https://t.co/avHdvEF9dC;61868608;Ywri Cortez Ferreir;ywri_cortez;25;;pt
2;87000000000000000000000;Tue May 30 18:18:00 +0000 2017;@jairbolsonaro temos q apreende a revida a altura fazer greves EXTREMAS já somos mal visto sem fazer nada então vamos a luta;1869911342;Mattheus Queiroz;Mateusgomes823;50;;pt
2;87000000000000000000000;Tue May 30 18:18:02 +0000 2017;@celineviena @Celso_Leite @Estadao @jdoriajr Eles nos acusam do que fazem onde Esquedista é democrático? Me mostre um só;79300000000000000000000;Carl;carl_mohad;269;;pt
2;87000000000000000000000;Tue May 30 18:18:09 +0000 2017;RT @anjulitostes: @MichelTemer Cuidado ao nomear p/ CGU. Não aceitaremos ministro suspeito. As vassouras continuam prontas para serem usada…;73400000000000000000000;Flavio Yamashita;flavioyamash;85;Brasília, Brasil;pt
2;87000000000000000000000;Tue May 30 18:18:28 +0000 2017;@ereis73 @MichelTemer Estão todos mamcomunados;157871601;Rosangela de Assis;beltraniassis;488;Curitiba;pt
2;87000000000000000000000;Tue May 30 18:18:53 +0000 2017;@geraldoalckmin_ Vcsxso fazem politicas para grandes empresas,as pequenas que existe em milhares não tem um incentivo.;86400000000000000000000;Marcos cezar de oliv;Marcoscezarmco;0;;pt
2;87000000000000000000000;Tue May 30 18:19:31 +0000 2017;@MendesOnca @frulanis @FabioORibeiro @CacoBrasil2 @dilmabr @MichelTemer Vais enfrentar o ódio aos blogueiros superior ao de Moro e Kamel.;56452419;Jorge Mutti (JR);jrmutti;1699;Salvador - Brasil;pt
